Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 5789225 5789225 1] 160181680
[1 9867270 9867270 1] 160765104
[1 19054082 19054082 1] 162227477
[1 15740085 15740085 1] 163509528
[1 26811973 26811973 1] 166495729
[1 73851 73851 1] 165908303
[1 15905386 15905386 1] 167388841
[1 7739300 7739300 1] 167703057
[1 23606043 23606043 1] 169879594
[1 26340714 26340714 1] 172389819
[1 15256191 15256191 1] 173611232
[1 6942591 6942591 1] 173771337
[1 10108582 10108582 1] 174292626
[1 21499337 21499337 1] 176034327
[1 6371156 6371156 1] 176127214
[1 22218005 22218005 1] 178028781
[1 11614770 11614770 1] 178700820
[1 12981777 12981777 1] 179476995
[1 6247256 6247256 1] 179556025
[1 18348143 18348143 1] 181041947
[1 4445885 4445885 1] 180924994
[1 20223206 20223206 1] 182846870
[1 27679568 27679568 1] 185315571
[1 21690614 21690614 1] 187127599
[1 12262755 12262755 1] 187866790
[1 1154260 1154260 1] 187384326
[1 12828203 12828203 1] 188104228
[1 24723507 24723507 1] 190164023
[1 26902022 26902022 1] 192435109
[1 20390869 20390869 1] 194025266
[1 6235190 6235190 1] 194145305
[1 27949909 27949909 1] 196877940
[1 27210499 27210499 1] 199333537
[1 18518809 18518809 1] 200722914
[1 4686249 4686249 1] 200624642
[1 19033334 19033334 1] 202152856
[1 20321649 20321649 1] 203749696
[1 11999755 11999755 1] 204630724
[1 2251747 2251747 1] 204308052
[1 4319530 4319530 1] 204192454
[1 573794 573794 1] 203655164
[1 24549798 24549798 1] 205703650
[1 26086991 26086991 1] 207976680
[1 10003034 10003034 1] 208453110
[1 18012498 18012498 1] 209954126
[1 21294893 21294893 1] 211874758
[1 25519126 25519126 1] 214093469
[1 24613997 24613997 1] 216298851
[1 25209189 25209189 1] 218447086
[1 8703730 8703730 1] 218796046
[1 15032461 15032461 1] 219876934
[1 21543922 21543922 1] 221615405
[1 2026305 2026305 1] 221236058
[1 18388028 18388028 1] 222720289
[1 2266749 2266749 1] 222381616
[1 1308903 1308903 1] 221937731
[1 10697698 10697698 1] 222564501
[1 23571044 23571044 1] 224582160
[1 15132003 15132003 1] 225704415
[1 24806404 24806404 1] 227871819
[1 24887344 24887344 1] 230005733
[1 9908539 9908539 1] 230554127
[1 12895152 12895152 1] 231339926
[1 12282135 12282135 1] 232072216
[1 171693 171693 1] 231490601
[1 20516128 20516128 1] 233158389
[1 13755630 13755630 1] 234066410
[1 15590965 15590965 1] 235250952
[1 10636430 10636430 1] 235832019
[1 2576336 2576336 1] 235511816
[1 9202901 9202901 1] 235863690
[1 19407972 19407972 1] 237391904
[1 12260290 12260290 1] 237892654
[1 21717989 21717989 1] 239603498
[1 11585796 11585796 1] 240258461
[1 13053145 13053145 1] 240817282
[1 27658391 27658391 1] 242635641
[1 12655341 12655341 1] 243139649
[1 10000570 10000570 1] 243419974
[1 1174233 1174233 1] 242922975
[1 10956043 10956043 1] 243440636
[1 20409118 20409118 1] 244720029
[1 16266762 16266762 1] 245610515
[1 5526310 5526310 1] 245557041
[1 22495426 22495426 1] 247023746
[1 9806368 9806368 1] 247301935
[1 24504235 24504235 1] 249136597
[1 16631627 16631627 1] 250093759
[1 7226058 7226058 1] 250157092
[1 16673169 16673169 1] 251033236
[1 7390359 7390359 1] 251087849
[1 6947387 6947387 1] 251110410
[1 10634995 10634995 1] 250909052
[1 27056553 27056553 1] 252748218
[1 7893530 7893530 1] 252841551
[1 28532291 28532291 1] 254908812
[1 27756971 27756971 1] 256743369
[1 16819081 16819081 1] 257633983
[1 24218594 24218594 1] 259144287
[1 6418628 6418628 1] 259103485
[1 18561887 18561887 1] 260121197
[1 10788356 10788356 1] 260459061
[1 2720091 2720091 1] 260095779
[1 26059480 26059480 1] 261861381
[1 1858970 1858970 1] 261431983
[1 14152275 14152275 1] 262079139
[1 16047642 16047642 1] 262853901
[1 10925434 10925434 1] 263191154
[1 17077889 17077889 1] 264043755
[1 3524567 3524567 1] 263747139
[1 11027285 11027285 1] 264125404
[1 5790418 5790418 1] 264046334
[1 29372261 29372261 1] 265990932
[1 7100238 7100238 1] 266006149
[1 9473060 9473060 1] 266228924
[1 22648519 22648519 1] 267606059
[1 21990784 21990784 1] 268893319
[1 3228459 3228459 1] 268565856
[1 3967638 3967638 1] 268305549
[1 26620484 26620484 1] 270115512
[1 27770479 27770479 1] 272110527
[1 27149315 27149315 1] 274293031
[1 12645730 12645730 1] 274937571
[1 11089439 11089439 1] 274736225
[1 7211389 7211389 1] 274789112
[1 23631234 23631234 1] 276416835
[1 25933682 25933682 1] 278160646
[1 13160359 13160359 1] 278812333
[1 29110700 29110700 1] 281242019
[1 24101840 24101840 1] 282871941
[1 20668364 20668364 1] 284165924
[1 20228795 20228795 1] 285473436
[1 23319848 23319848 1] 287056999
[1 18217463 18217463 1] 288211369
[1 12539391 12539391 1] 288712456
[1 25745792 25745792 1] 290367674
[1 7355116 7355116 1] 290441825
[1 12796158 12796158 1] 290993346
[1 20631492 20631492 1] 292250174
[1 4462952 4462952 1] 292061816
[1 11035022 11035022 1] 292491903
[1 18393741 18393741 1] 293584563
[1 3614031 3614031 1] 293301649
[1 5035326 5035326 1] 293135762
[1 24187517 24187517 1] 294667217
[1 2033003 2033003 1] 294244636
[1 27746140 27746140 1] 296066422
[1 3785405 3785405 1] 295796657
[1 28974581 28974581 1] 297837345
[1 6039022 6039022 1] 297791067
[1 15539863 15539863 1] 298607487
[1 16235380 16235380 1] 299634757
[1 22692686 22692686 1] 301155839
[1 18299905 18299905 1] 302246322
[1 5433484 5433484 1] 302143397
[1 6199760 6199760 1] 302129057
[1 15889745 15889745 1] 302995084
[1 18469912 18469912 1] 304096580
[1 8663951 8663951 1] 304298522
[1 29777561 29777561 1] 306599167
[1 17675106 17675106 1] 307619901
[1 12740050 12740050 1] 308222599
[1 6588712 6588712 1] 308219645
[1 1519935 1519935 1] 307752827
[1 16077376 16077376 1] 308541310
[1 29593615 29593615 1] 310512283
[1 9343769 9343769 1] 310724114
[1 19544919 19544919 1] 311866443
[1 27376883 27376883 1] 313738673
[1 27876983 27876983 1] 315647183
[1 13124031 13124031 1] 316177965
[1 14311575 14311575 1] 316845528
[1 11186594 11186594 1] 317224196
[1 13550254 13550254 1] 317831834
[1 8803075 8803075 1] 318004812
[1 17734714 17734714 1] 319003534
[1 15138378 15138378 1] 319753447
[1 24415776 24415776 1] 321363550
[1 12032920 12032920 1] 322106566
[1 9806733 9806733 1] 322416830
[1 16011018 16011018 1] 323368476
[1 24760236 24760236 1] 325166459
[1 7745692 7745692 1] 325286567
[1 22423944 22423944 1] 326784600
[1 4666329 4666329 1] 326607115
[1 20449292 20449292 1] 327890642
[1 6894019 6894019 1] 327932021
[1 11836837 11836837 1] 328458176
[1 2575056 2575056 1] 328091266
[1 2963859 2963859 1] 327755643
[1 8714905 8714905 1] 327967215
[1 20372662 20372662 1] 329326146
[1 3689686 3689686 1] 329048433
[1 10613074 10613074 1] 329387493
[1 5756852 5756852 1] 329323901
[1 26349251 26349251 1] 331184598
[1 12336504 12336504 1] 331847677
[1 29639007 29639007 1] 334002635
[1 5414640 5414640 1] 333921848
[1 7721121 7721121 1] 334025885
[1 24880227 24880227 1] 335691746
[1 10387678 10387678 1] 335996545
[1 27963982 27963982 1] 338031043
[1 14887561 14887561 1] 338950510
[1 127956 127956 1] 338367077
[1 24433519 24433519 1] 340009141
[1 21066343 21066343 1] 341272450
[1 10245197 10245197 1] 341612200
[1 24627322 24627322 1] 343367461
[1 22994985 22994985 1] 344816380
[1 23794428 23794428 1] 346310992
[1 22152041 22152041 1] 347730453
[1 22970073 22970073 1] 349266766
[1 21245831 21245831 1] 350719609
[1 26370348 26370348 1] 352715279
[1 20982031 20982031 1] 354232841
[1 9653715 9653715 1] 354564939
[1 18057523 18057523 1] 355767551
[1 18626925 18626925 1] 357159093
[1 3189436 3189436 1] 356914021
[1 15829205 15829205 1] 357918465
[1 22630444 22630444 1] 359646408
[1 24945487 24945487 1] 361476136
[1 26684279 26684279 1] 363536522
[1 6250263 6250263 1] 363575376
[1 14989684 14989684 1] 364469527
[1 21539849 21539849 1] 365877360
[1 1208325 1208325 1] 365389696
[1 11449123 11449123 1] 365860911
[1 7927336 7927336 1] 365987809
[1 3937458 3937458 1] 365746399
[1 24102748 24102748 1] 367273900
[1 25311777 25311777 1] 368867158
[1 3725219 3725219 1] 368588335
[1 27621704 27621704 1] 370471568
[1 15209934 15209934 1] 371193580
[1 17053960 17053960 1] 372058947
[1 2862807 2862807 1] 371704247
[1 5748721 5748721 1] 371606378
[1 9121309 9121309 1] 371833471
[1 1742699 1742699 1] 371390351
[1 7076377 7076377 1] 371437039
[1 1252716 1252716 1] 370960217
[1 2825172 2825172 1] 370634092
[1 25771560 25771560 1] 372462553
[1 15554011 15554011 1] 373362881
[1 22178225 22178225 1] 374703989
[1 25816540 25816540 1] 376481659
[1 13945054 13945054 1] 376574398
[1 1489115 1489115 1] 376104412
[1 15405990 15405990 1] 376846901
[1 2028068 2028068 1] 376423137
[1 25575224 25575224 1] 378112429
[1 332232 332232 1] 377542446
[1 2292123 2292123 1] 377148350
[1 11323876 11323876 1] 377557717
[1 20390180 20390180 1] 378935481
[1 25202255 25202255 1] 380742780
[1 20311132 20311132 1] 381906863
[1 3967858 3967858 1] 381650314
[1 3199182 3199182 1] 381324450
[1 10554604 10554604 1] 381641309
[1 26152434 26152434 1] 383307486
[1 23590182 23590182 1] 384758765
[1 29359416 29359416 1] 386722066
[1 21768826 21768826 1] 388085148
[1 26138723 26138723 1] 389884616
[1 15550552 15550552 1] 390661520
[1 14090033 14090033 1] 391299008
[1 21443182 21443182 1] 392596890
[1 12990416 12990416 1] 393157169
