Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 5789225 5789225 1] 134504814
[1 9867270 9867270 1] 134910563
[1 19054082 19054082 1] 136251045
[1 15740085 15740085 1] 137250625
[1 26811973 26811973 1] 139378884
[1 73851 73851 1] 138786319
[1 15905386 15905386 1] 139817537
[1 7739300 7739300 1] 140010186
[1 23606043 23606043 1] 141823279
[1 26340714 26340714 1] 143963269
[1 24429690 24429690 1] 136
[1 15256191 15256191 1] 144990304
[1 6942591 6942591 1] 145097842
[1 10108582 10108582 1] 145522915
[1 21499337 21499337 1] 147129294
[1 6371156 6371156 1] 147178669
[1 22218005 22218005 1] 148854042
[1 11614770 11614770 1] 149437505
[1 12981777 12981777 1] 150222704
[1 6247256 6247256 1] 150271214
[1 18348143 18348143 1] 151633206
[1 4445885 4445885 1] 151486328
[1 20223206 20223206 1] 152955793
[1 27679568 27679568 1] 155190803
[1 21690614 21690614 1] 156923710
[1 12262755 12262755 1] 157604056
[1 1154260 1154260 1] 157122808
[1 12828203 12828203 1] 157828851
[1 24723507 24723507 1] 159754151
[1 26902022 26902022 1] 161896521
[1 20390869 20390869 1] 163405415
[1 6235190 6235190 1] 163443033
[1 27949909 27949909 1] 165710799
[1 27210499 27210499 1] 167884890
[1 18518809 18518809 1] 169171905
[1 4686249 4686249 1] 169048438
[1 19033334 19033334 1] 170404237
[1 20321649 20321649 1] 171901030
[1 11999755 11999755 1] 172536705
[1 2251747 2251747 1] 172172802
[1 4319530 4319530 1] 172017970
[1 24549798 24549798 1] 173348954
[1 26086991 26086991 1] 175462385
[1 10003034 10003034 1] 175897779
[1 18012498 18012498 1] 177154401
[1 21294893 21294893 1] 178740811
[1 25519126 25519126 1] 180776339
[1 24613997 24613997 1] 182721946
[1 25209189 25209189 1] 184711972
[1 8703730 8703730 1] 185006913
[1 15032461 15032461 1] 185951361
[1 21543922 21543922 1] 187576121
[1 2026305 2026305 1] 187182937
[1 18388028 18388028 1] 188524752
[1 2266749 2266749 1] 188164490
[1 1308903 1308903 1] 187705456
[1 10697698 10697698 1] 188222418
[1 23571044 23571044 1] 190059063
[1 15132003 15132003 1] 191015618
[1 24806404 24806404 1] 192974917
[1 24887344 24887344 1] 194933691
[1 9908539 9908539 1] 195359239
[1 12895152 12895152 1] 196075430
[1 12282135 12282135 1] 196742032
[1 171693 171693 1] 196159845
[1 20516128 20516128 1] 197680908
[1 13755630 13755630 1] 198500688
[1 15590965 15590965 1] 199508298
[1 10636430 10636430 1] 200014054
[1 2576336 2576336 1] 199679865
[1 9202901 9202901 1] 200018305
[1 19407972 19407972 1] 201419791
[1 12260290 12260290 1] 202093717
[1 21717989 21717989 1] 203766315
[1 11585796 11585796 1] 204374938
[1 13053145 13053145 1] 205121206
[1 27658391 27658391 1] 207381843
[1 12655341 12655341 1] 208088811
[1 10000570 10000570 1] 208512938
[1 1174233 1174233 1] 208030411
[1 10956043 10956043 1] 208554130
[1 20409118 20409118 1] 210087651
[1 16266762 16266762 1] 211180813
[1 5526310 5526310 1] 211166501
[1 22495426 22495426 1] 212871440
[1 9806368 9806368 1] 213275796
[1 24504235 24504235 1] 215199494
[1 16631627 16631627 1] 216319642
[1 7226058 7226058 1] 216464402
[1 16673169 16673169 1] 217591229
[1 7390359 7390359 1] 217762424
[1 6947387 6947387 1] 217869505
[1 10634995 10634995 1] 217759802
[1 27056553 27056553 1] 219970246
[1 7893530 7893530 1] 220203284
[1 28532291 28532291 1] 222615983
[1 27756971 27756971 1] 224907530
[1 16819081 16819081 1] 226036728
[1 24218594 24218594 1] 227922968
[1 6418628 6418628 1] 227979381
[1 18561887 18561887 1] 229281128
[1 10788356 10788356 1] 229796699
[1 2720091 2720091 1] 229476121
[1 26059480 26059480 1] 231575245
[1 1858970 1858970 1] 231164882
[1 14152275 14152275 1] 232027490
[1 16047642 16047642 1] 233084060
[1 10925434 10925434 1] 233614746
[1 17077889 17077889 1] 234790364
[1 3524567 3524567 1] 234544521
[1 11027285 11027285 1] 235073480
[1 5790418 5790418 1] 235075161
[1 29372261 29372261 1] 237501267
[1 7100238 7100238 1] 237627637
[1 9473060 9473060 1] 238010345
[1 22648519 22648519 1] 239739234
[1 21990784 21990784 1] 241412103
[1 3228459 3228459 1] 241149561
[1 3967638 3967638 1] 240964916
[1 26620484 26620484 1] 243117492
[1 27770479 27770479 1] 245395026
[1 27149315 27149315 1] 247602872
[1 12645730 12645730 1] 248291710
[1 11089439 11089439 1] 248221394
[1 7211389 7211389 1] 248359255
[1 23631234 23631234 1] 250210422
[1 25933682 25933682 1] 252289996
[1 13160359 13160359 1] 253063165
[1 29110700 29110700 1] 255449113
[1 24101840 24101840 1] 257327834
[1 20668364 20668364 1] 258853218
[1 20228795 20228795 1] 260355762
[1 23319848 23319848 1] 262177401
[1 18217463 18217463 1] 263481788
[1 12539391 12539391 1] 264164824
[1 25745792 25745792 1] 266210684
[1 7355116 7355116 1] 266357357
[1 12796158 12796158 1] 267080407
[1 20631492 20631492 1] 268593817
[1 4462952 4462952 1] 268454702
[1 11035022 11035022 1] 268989954
[1 18393741 18393741 1] 270291422
[1 3614031 3614031 1] 270066347
[1 5035326 5035326 1] 269990243
[1 24187517 24187517 1] 271891949
[1 2033003 2033003 1] 271500931
[1 27746140 27746140 1] 273755662
[1 3785405 3785405 1] 273544474
[1 28974581 28974581 1] 275908032
[1 6039022 6039022 1] 275924296
[1 15539863 15539863 1] 276923673
[1 16235380 16235380 1] 278005436
[1 22692686 22692686 1] 279755858
[1 18299905 18299905 1] 281057463
[1 5433484 5433484 1] 281020790
[1 6199760 6199760 1] 281061236
[1 15889745 15889745 1] 282092674
[1 18469912 18469912 1] 283396386
[1 8663951 8663951 1] 283698573
[1 29777561 29777561 1] 286194888
[1 17675106 17675106 1] 287431593
[1 12740050 12740050 1] 288153645
[1 6588712 6588712 1] 288228260
[1 1519935 1519935 1] 287783899
[1 16077376 16077376 1] 288831837
[1 29593615 29593615 1] 291273983
[1 9343769 9343769 1] 291635290
[1 19544919 19544919 1] 293038043
[1 27376883 27376883 1] 295269908
[1 27876983 27876983 1] 297567476
[1 13124031 13124031 1] 298384258
[1 14311575 14311575 1] 299271320
[1 11186594 11186594 1] 299839867
