Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 6930887 6930887 1] 530184
[1 4636916 4636916 1] 352885
[1 4238336 4238336 1] 321469
[1 29760493 29760493 1] 2254487
[1 19641422 19641422 1] 3158947
[1 490028 490028 1] 2596261
[1 22520060 22520060 1] 3846048
[1 17513927 17513927 1] 4683554
[1 10383427 10383427 1] 4908270
[1 13455737 13455737 1] 5367312
[1 11595369 11595369 1] 5698787
[1 16956430 16956430 1] 6626885
[1 21021531 21021531 1] 7757802
[1 23665124 23665124 1] 9208912
[1 18703136 18703136 1] 10240661
[1 1979803 1979803 1] 9800365
[1 5723059 5723059 1] 9670621
[1 15898168 15898168 1] 10444307
[1 19018457 19018457 1] 11456568
[1 6478043 6478043 1] 11430423
[1 3377374 3377374 1] 11108169
[1 24544920 24544920 1] 12736041
[1 6898538 6898538 1] 12703695
[1 23594325 23594325 1] 14162517
[1 28664371 28664371 1] 16547431
[1 4803527 4803527 1] 16450866
[1 14268981 14268981 1] 17327938
[1 29241874 29241874 1] 19732669
[1 12999171 12999171 1] 20444182
[1 15497282 15497282 1] 21416376
[1 14420926 14420926 1] 22316246
[1 27336328 27336328 1] 24532707
[1 19126506 19126506 1] 25851979
[1 12621730 12621730 1] 26507172
[1 23925858 23925858 1] 28356195
[1 24353896 24353896 1] 30214588
[1 21100546 21100546 1] 31728267
[1 18233368 18233368 1] 32953669
[1 25990365 25990365 1] 34982904
[1 10313751 10313751 1] 35412257
[1 26426809 26426809 1] 37456966
[1 29947179 29947179 1] 39937324
[1 19393585 19393585 1] 41267485
[1 28502652 28502652 1] 43502862
[1 4612400 4612400 1] 43363973
[1 4095061 4095061 1] 43174764
[1 13993369 13993369 1] 43998307
[1 4210013 4210013 1] 43819787
[1 9698587 9698587 1] 44194758
[1 6297540 6297540 1] 44229453
[1 13480571 13480571 1] 44986582
[1 25960379 25960379 1] 47116122
[1 2066602 2066602 1] 46724060
[1 27612903 27612903 1] 48918991
[1 24544920 24544920 1] 138
[1 3570493 3570493 1] 48680602
[1 260757 260757 1] 48107006
[1 5560281 5560281 1] 48067981
[1 23209442 23209442 1] 49809258
[1 24429690 24429690 1] 51707537
[1 27346620 27346620 1] 53868246
[1 744730 744730 1] 53342381
[1 13108118 13108118 1] 54060253
[1 27905772 27905772 1] 56293023
[1 12890676 12890676 1] 56990159
[1 11698928 11698928 1] 57552305
[1 18777857 18777857 1] 58834869
[1 14872354 14872354 1] 59725107
[1 12276966 12276966 1] 60372550
[1 23964684 23964684 1] 62196301
