Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 6930887 6930887 1] 535978
[1 4636916 4636916 1] 376815
[1 4238336 4238336 1] 327340
[1 29760493 29760493 1] 2519628
[1 19641422 19641422 1] 3538649
[1 490028 490028 1] 2978125
[1 22520060 22520060 1] 4254715
[1 17513927 17513927 1] 5192014
[1 10383427 10383427 1] 5451339
[1 13455737 13455737 1] 6187070
[1 11595369 11595369 1] 6606089
[1 16956430 16956430 1] 7477110
[1 21021531 21021531 1] 8718276
[1 23665124 23665124 1] 10277889
[1 18703136 18703136 1] 11693420
[1 1979803 1979803 1] 11339915
[1 5723059 5723059 1] 11378726
[1 15898168 15898168 1] 12657607
[1 19018457 19018457 1] 14205321
[1 6478043 6478043 1] 14312208
[1 3377374 3377374 1] 14077517
[1 24544920 24544920 1] 16145660
[1 6898538 6898538 1] 16295117
[1 23594325 23594325 1] 18255936
[1 28664371 28664371 1] 20891808
[1 4803527 4803527 1] 20804884
[1 14268981 14268981 1] 21731723
[1 29241874 29241874 1] 24346186
[1 12999171 12999171 1] 25120619
[1 15497282 15497282 1] 26166351
[1 14420926 14420926 1] 27183590
[1 27336328 27336328 1] 29535747
[1 19126506 19126506 1] 30981804
[1 12621730 12621730 1] 31788323
[1 23925858 23925858 1] 33886776
[1 24353896 24353896 1] 35881190
[1 21100546 21100546 1] 37526529
[1 18233368 18233368 1] 38866310
[1 25990365 25990365 1] 41034724
[1 10313751 10313751 1] 41543183
[1 26426809 26426809 1] 43789522
[1 29947179 29947179 1] 46428579
[1 19393585 19393585 1] 47887800
[1 28502652 28502652 1] 50330952
[1 4612400 4612400 1] 50220842
[1 4095061 4095061 1] 50054950
[1 13993369 13993369 1] 50978634
[1 4210013 4210013 1] 50821649
[1 9698587 9698587 1] 51256965
[1 6297540 6297540 1] 51338837
[1 13480571 13480571 1] 52189169
[1 25960379 25960379 1] 54348860
[1 2066602 2066602 1] 53967211
[1 27612903 27612903 1] 56298238
[1 3570493 3570493 1] 56078810
[1 260757 260757 1] 55505706
[1 5560281 5560281 1] 55496529
[1 23209442 23209442 1] 57377601
[1 24429690 24429690 1] 59366143
[1 27346620 27346620 1] 61716400
[1 744730 744730 1] 61193071
[1 13108118 13108118 1] 61963939
[1 27905772 27905772 1] 64279260
[1 12890676 12890676 1] 65030182
[1 11698928 11698928 1] 65650210
[1 18777857 18777857 1] 66993875
[1 14872354 14872354 1] 67997666
[1 12276966 12276966 1] 68679380
[1 23964684 23964684 1] 70608037
[1 10028625 10028625 1] 71051006
