Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 6930887 6930887 1] 583017
[1 4636916 4636916 1] 365782
[1 4238336 4238336 1] 339567
[1 29760493 29760493 1] 2399169
[1 19641422 19641422 1] 3448785
[1 490028 490028 1] 2890799
[1 22520060 22520060 1] 4161685
[1 17513927 17513927 1] 5077444
[1 10383427 10383427 1] 5358678
[1 13455737 13455737 1] 5955216
[1 11595369 11595369 1] 6357188
[1 16956430 16956430 1] 7461035
[1 21021531 21021531 1] 9161873
[1 23665124 23665124 1] 11124118
[1 18703136 18703136 1] 12542453
[1 1979803 1979803 1] 12153799
[1 5723059 5723059 1] 12158607
[1 15898168 15898168 1] 13254615
[1 19018457 19018457 1] 14673053
[1 6478043 6478043 1] 14764977
[1 3377374 3377374 1] 14534238
[1 24544920 24544920 1] 16595447
[1 6898538 6898538 1] 16721308
[1 23594325 23594325 1] 18622091
[1 28664371 28664371 1] 21021856
[1 4803527 4803527 1] 20919687
[1 14268981 14268981 1] 21825046
[1 29241874 29241874 1] 24300206
[1 12999171 12999171 1] 25063120
[1 15497282 15497282 1] 26081517
[1 14420926 14420926 1] 26997005
[1 27336328 27336328 1] 29320443
[1 19126506 19126506 1] 30743113
[1 12621730 12621730 1] 31460872
[1 23925858 23925858 1] 33355039
[1 24353896 24353896 1] 35295808
[1 21100546 21100546 1] 36931911
[1 18233368 18233368 1] 38260765
[1 25990365 25990365 1] 40403881
[1 10313751 10313751 1] 40889250
[1 26426809 26426809 1] 43094363
[1 29947179 29947179 1] 45677418
[1 19393585 19393585 1] 47111099
[1 28502652 28502652 1] 49489801
[1 4612400 4612400 1] 49370497
[1 4095061 4095061 1] 49198451
[1 13993369 13993369 1] 50087530
[1 4210013 4210013 1] 49933171
[1 9698587 9698587 1] 50349278
[1 6297540 6297540 1] 50411760
[1 13480571 13480571 1] 51220003
[1 25960379 25960379 1] 53475558
[1 2066602 2066602 1] 53072842
[1 27612903 27612903 1] 55411879
[1 3570493 3570493 1] 55184915
[1 260757 260757 1] 54612224
[1 5560281 5560281 1] 54593074
[1 23209442 23209442 1] 56428198
[1 24429690 24429690 1] 58385496
[1 27346620 27346620 1] 60649077
[1 744730 744730 1] 60126673
[1 13108118 13108118 1] 60897991
[1 27905772 27905772 1] 63229604
[1 12890676 12890676 1] 63973671
[1 11698928 11698928 1] 64613593
[1 18777857 18777857 1] 65972116
[1 14872354 14872354 1] 66931760
[1 12276966 12276966 1] 67634801
[1 23964684 23964684 1] 69577095
[1 10028625 10028625 1] 70017416
