Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 6930887 6930887 1] 500621
[1 4636916 4636916 1] 339798
[1 4238336 4238336 1] 305726
[1 29760493 29760493 1] 2124085
[1 19641422 19641422 1] 2973424
[1 490028 490028 1] 2409853
[1 22520060 22520060 1] 3446295
[1 17513927 17513927 1] 4116228
[1 10383427 10383427 1] 4295525
[1 13455737 13455737 1] 4686940
[1 11595369 11595369 1] 4965912
[1 16956430 16956430 1] 5620327
[1 21021531 21021531 1] 6566625
[1 23665124 23665124 1] 7751120
[1 18703136 18703136 1] 8588105
[1 1979803 1979803 1] 8145451
[1 5723059 5723059 1] 8002902
[1 15898168 15898168 1] 8676948
[1 19018457 19018457 1] 9578003
[1 6478043 6478043 1] 9466922
[1 3377374 3377374 1] 9120312
[1 24544920 24544920 1] 10375409
[1 6898538 6898538 1] 10337584
[1 23594325 23594325 1] 11670261
[1 28664371 28664371 1] 13416566
[1 4803527 4803527 1] 13208855
[1 14268981 14268981 1] 13772778
[1 29241874 29241874 1] 15553648
[1 12999171 12999171 1] 16010807
[1 15497282 15497282 1] 16630261
[1 14420926 14420926 1] 17196057
[1 27336328 27336328 1] 18879823
[1 19126506 19126506 1] 19848102
[1 12621730 12621730 1] 20218023
[1 23925858 23925858 1] 21459542
[1 24353896 24353896 1] 22736916
[1 21100546 21100546 1] 23919327
[1 18233368 18233368 1] 24926929
[1 25990365 25990365 1] 26591720
[1 10313751 10313751 1] 26887315
[1 26426809 26426809 1] 28590004
[1 29947179 29947179 1] 30552218
[1 19393585 19393585 1] 31605488
[1 28502652 28502652 1] 33430917
[1 4612400 4612400 1] 33224467
[1 4095061 4095061 1] 32969868
[1 13993369 13993369 1] 33559021
[1 4210013 4210013 1] 33316433
[1 9698587 9698587 1] 33540947
[1 6297540 6297540 1] 33472059
[1 13480571 13480571 1] 34015490
[1 25960379 25960379 1] 35604849
[1 2066602 2066602 1] 35179091
[1 27612903 27612903 1] 36913815
[1 3570493 3570493 1] 36618369
[1 260757 260757 1] 36040945
[1 5560281 5560281 1] 35916254
[1 23209442 23209442 1] 37285795
[1 24429690 24429690 1] 38765615
[1 27346620 27346620 1] 40483954
[1 744730 744730 1] 39946727
[1 13108118 13108118 1] 40448485
[1 27905772 27905772 1] 42238329
[1 12890676 12890676 1] 42728373
[1 11698928 11698928 1] 43117579
[1 18777857 18777857 1] 44105573
[1 14872354 14872354 1] 44761220
[1 12276966 12276966 1] 45200748
[1 23964684 23964684 1] 46654767
[1 10028625 10028625 1] 46901384
