#input
#!/bin/sh
#
# This is the configuration of the final run.
# The seed value will be a non-zero value that will not be disclosed.
##
#
#
#SERVER=localhost
#PORT=9000
#SEED=5041
#TOTAL=500
#START=0
#DIFFICULTY=30000000
#REP_PROB_PERCENT=20
#DELAY_US=600000
#PRIO_LAMBDA=1.5
#
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#


**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 1657028723439299735 1657028723439299735 1] 58585521
[1 3837879182316570790 3837879182316570790 1] 59283610
[1 3679629128133838277 3679629128133838277 1] 58850779
[1 3980262377739853399 3980262377739853399 2] 58458401
[1 4829750008164147974 4829750008164147974 1] 57956519
[1 366035088203681309 366035088203681309 1] 59011471
[1 472640305114548655 472640305114548655 1] 60301839
[1 8025119966655469405 8025119966655469405 1] 60141875
[1 1943465972204786521 1943465972204786521 1] 61600169
[1 9087915936908888447 9087915936908888447 1] 62823454
[1 7021863040962118426 7021863040962118426 1] 64555925
[1 6383064505001044642 6383064505001044642 1] 65060254
[1 6661929279557956789 6661929279557956789 1] 65258172
[1 3380263676397564338 3380263676397564338 1] 64867880
[1 4134066680141017990 4134066680141017990 1] 64467094
[1 7885990956964797791 7885990956964797791 1] 64621830
[1 2881907375742268536 2881907375742268536 2] 65964491
[1 1494610507527821925 1494610507527821925 1] 66039784
[1 2237646372472201809 2237646372472201809 2] 66099202
[1 7000092202700241638 7000092202700241638 1] 66142048
[1 4049776256710809090 4049776256710809090 1] 67463569
[1 7094574829709000416 7094574829709000416 2] 69125461
[1 5222133264898256115 5222133264898256115 2] 69507479
[1 777597955150123734 777597955150123734 1] 70009613
[1 78272782157371108 78272782157371108 1] 71751617
[1 4934221230837358068 4934221230837358068 1] 72322709
[1 3224496798420488480 3224496798420488480 1] 73651573
[1 4389097367932351452 4389097367932351452 1] 73928672
[1 472640305114548655 472640305114548655 1] 75214631
[1 6418055994088674903 6418055994088674903 2] 76799288
[1 4210581282492980127 4210581282492980127 1] 77967498
[1 62078986177768511 62078986177768511 1] 77616481
[1 4858660833805638128 4858660833805638128 1] 79151811
[1 5486430009089896035 5486430009089896035 1] 78980479
[1 3523119062920112816 3523119062920112816 1] 79193460
[1 2404331784854299912 2404331784854299912 1] 79177219
[1 171574233629385747 171574233629385747 1] 79233067
[1 3837879182316570790 3837879182316570790 1] 79923503
[1 4002065833995603862 4002065833995603862 1] 80435358
[1 101175050661003722 101175050661003722 1] 80894641
[1 5235884288566630025 5235884288566630025 1] 80435282
[1 1217082174760581124 1217082174760581124 1] 81407727
[1 9041943092826302859 9041943092826302859 1] 81756948
[1 4570918472550733256 4570918472550733256 1] 82246192
[1 3778255577798444672 3778255577798444672 2] 83414591
[1 2562215526203485763 2562215526203485763 2] 83664428
[1 4559156434454441098 4559156434454441098 1] 85036830
[1 6334889449731842403 6334889449731842403 1] 85571618
[1 8773876334263565533 8773876334263565533 1] 85321926
[1 4516712816156734168 4516712816156734168 1] 85918485
[1 5190854629269504638 5190854629269504638 1] 85527472
[1 348341910997470776 348341910997470776 1] 84957831
[1 3338324673096263604 3338324673096263604 1] 85563604
[1 6696084871028655697 6696084871028655697 1] 85913591
[1 2337016797151025370 2337016797151025370 1] 87459721
[1 6513783888078605502 6513783888078605502 1] 88317882
[1 4567303845284399364 4567303845284399364 1] 88462379
[1 6418055994088674903 6418055994088674903 2] 90042179
[1 3551371861899513573 3551371861899513573 1] 90242449
[1 3210252149598671156 3210252149598671156 2] 91254327
[1 4852342352453309314 4852342352453309314 1] 92115127
[1 894503179976803868 894503179976803868 2] 92605093
[1 647491046073748595 647491046073748595 1] 92409744
[1 4509399839213241252 4509399839213241252 1] 93709147
[1 3289045874899206838 3289045874899206838 2] 94967834
[1 7012966272631410635 7012966272631410635 1] 94406476
[1 2810783061002379839 2810783061002379839 1] 94459355
[1 3526848735750231445 3526848735750231445 3] 95038059
[1 4672142790945023815 4672142790945023815 1] 96367076
[1 6451767927797156096 6451767927797156096 1] 97100285
[1 2239583862575887041 2239583862575887041 1] 97244937
[1 5235884288566630025 5235884288566630025 1] 96785461
[1 3271852081665507611 3271852081665507611 1] 96242235
[1 3523119062920112816 3523119062920112816 1] 96456140
[1 7758562614941667095 7758562614941667095 2] 97271225
[1 251690462219525063 251690462219525063 1] 98917386
[1 8861487328274733667 8861487328274733667 1] 98790416
[1 472640305114548655 472640305114548655 2] 100069953
[1 5199371706524493251 5199371706524493251 1] 99882918
[1 5178792161997660435 5178792161997660435 1] 100365312
[1 8166414568124432591 8166414568124432591 1] 101254370
[1 8685449636262271972 8685449636262271972 1] 102857427
[1 7132460384727029320 7132460384727029320 2] 102971159
[1 5514366799865754161 5514366799865754161 1] 103425057
