Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 19054082 19054082 1] 164651256
[1 15740085 15740085 1] 165459194
[1 26811973 26811973 1] 167290049
[1 73851 73851 1] 166696466
[1 15905386 15905386 1] 167589197
[1 7739300 7739300 1] 167713001
[1 23606043 23606043 1] 169227293
[1 26340714 26340714 1] 170983515
[1 15256191 15256191 1] 171778676
[1 6942591 6942591 1] 171808980
[1 10108582 10108582 1] 172116420
[1 21499337 21499337 1] 173448981
[1 6371156 6371156 1] 173441623
[1 22218005 22218005 1] 174896632
[1 11614770 11614770 1] 175328861
[1 12981777 12981777 1] 175895722
[1 6247256 6247256 1] 175852601
[1 18348143 18348143 1] 176893035
[1 4445885 4445885 1] 176694314
[1 20223206 20223206 1] 177893856
[1 27679568 27679568 1] 179772871
[1 21690614 21690614 1] 181116991
[1 12262755 12262755 1] 181694616
[1 1154260 1154260 1] 181196545
[1 12828203 12828203 1] 181739526
[1 24723507 24723507 1] 183334150
[1 26902022 26902022 1] 185124930
[1 20390869 20390869 1] 186370650
[1 6235190 6235190 1] 186359480
[1 27949909 27949909 1] 188239689
[1 27210499 27210499 1] 190047727
[1 18518809 18518809 1] 191095442
[1 4686249 4686249 1] 190917210
[1 19033334 19033334 1] 192008786
[1 20321649 20321649 1] 193210789
[1 11999755 11999755 1] 193672704
[1 2251747 2251747 1] 193273242
[1 4319530 4319530 1] 193058457
[1 573794 573794 1] 192510513
[1 24549798 24549798 1] 194104981
[1 26086991 26086991 1] 195818622
[1 10003034 10003034 1] 196103210
[1 18012498 18012498 1] 197100716
[1 21294893 21294893 1] 198383654
[1 25519126 25519126 1] 200043212
[1 24613997 24613997 1] 201619278
[1 25209189 25209189 1] 203255474
[1 8703730 8703730 1] 203427984
[1 15032461 15032461 1] 204163303
[1 21543922 21543922 1] 205484987
[1 2026305 2026305 1] 205066826
[1 18388028 18388028 1] 206106688
[1 2266749 2266749 1] 205706961
[1 1308903 1308903 1] 205222687
[1 10697698 10697698 1] 205574621
[1 23571044 23571044 1] 207083293
[1 15132003 15132003 1] 207864662
[1 24806404 24806404 1] 209470680
[1 24887344 24887344 1] 211095382
[1 9908539 9908539 1] 211373184
[1 12895152 12895152 1] 211920647
[1 12282135 12282135 1] 212404575
[1 171693 171693 1] 211819607
[1 20516128 20516128 1] 213037678
[1 13755630 13755630 1] 213652527
[1 15590965 15590965 1] 214534553
[1 10636430 10636430 1] 214888978
[1 2576336 2576336 1] 214516625
[1 9202901 9202901 1] 214733201
[1 19407972 19407972 1] 215850052
[1 12260290 12260290 1] 216335162
[1 21717989 21717989 1] 217664754
[1 11585796 11585796 1] 218093736
[1 13053145 13053145 1] 218648426
[1 27658391 27658391 1] 220486613
[1 12655341 12655341 1] 221002330
[1 10000570 10000570 1] 221358801
[1 1174233 1174233 1] 220863255
[1 10956043 10956043 1] 221238684
[1 20409118 20409118 1] 222440694
[1 16266762 16266762 1] 223282630
[1 5526310 5526310 1] 223170396
[1 22495426 22495426 1] 224557543
[1 9806368 9806368 1] 224824298
[1 24504235 24504235 1] 226390194
[1 16631627 16631627 1] 227255049
[1 7226058 7226058 1] 227292376
[1 16673169 16673169 1] 228170813
[1 7390359 7390359 1] 228222915
[1 6947387 6947387 1] 228239805
[1 24429690 24429690 1] 229813998
[1 10634995 10634995 1] 230152326
[1 27056553 27056553 1] 231944194
[1 7893530 7893530 1] 232046300
[1 28532291 28532291 1] 234024293
[1 27756971 27756971 1] 235888999
[1 16819081 16819081 1] 236790332
[1 24218594 24218594 1] 238347503
[1 6418628 6418628 1] 238315802
[1 18561887 18561887 1] 239362258
[1 10788356 10788356 1] 239715535
[1 2720091 2720091 1] 239363352
[1 26059480 26059480 1] 241142033
[1 1858970 1858970 1] 240705952
[1 14152275 14152275 1] 241362012
[1 16047642 16047642 1] 242162058
[1 10925434 10925434 1] 242514158
[1 17077889 17077889 1] 243408643
[1 3524567 3524567 1] 243117977
[1 11027285 11027285 1] 243516533
[1 5790418 5790418 1] 243429041
[1 29372261 29372261 1] 245413271
[1 7100238 7100238 1] 245434418
[1 9473060 9473060 1] 245657482
[1 22648519 22648519 1] 247063286
[1 21990784 21990784 1] 248384392
[1 3228459 3228459 1] 248070578
[1 3967638 3967638 1] 247818579
[1 26620484 26620484 1] 249553145
[1 27770479 27770479 1] 251394580
