Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 19054082 19054082 1] 107809432
[1 15740085 15740085 1] 108505230
[1 26811973 26811973 1] 110134141
[1 73851 73851 1] 109540048
[1 15905386 15905386 1] 110293604
[1 7739300 7739300 1] 110421947
[1 23606043 23606043 1] 112054857
[1 26340714 26340714 1] 114003203
[1 15256191 15256191 1] 114850345
[1 6942591 6942591 1] 114905297
[1 10108582 10108582 1] 115256045
[1 21499337 21499337 1] 116684816
[1 6371156 6371156 1] 116683187
[1 22218005 22218005 1] 118164097
[1 11614770 11614770 1] 118649122
[1 12981777 12981777 1] 119275487
[1 6247256 6247256 1] 119262183
[1 18348143 18348143 1] 120377766
[1 4445885 4445885 1] 120190334
[1 20223206 20223206 1] 121500727
[1 27679568 27679568 1] 123458820
[1 21690614 21690614 1] 124891211
[1 12262755 12262755 1] 125433671
[1 1154260 1154260 1] 124941853
[1 12828203 12828203 1] 125533331
[1 24723507 24723507 1] 127205339
[1 26902022 26902022 1] 129101393
[1 20390869 20390869 1] 130392622
[1 6235190 6235190 1] 130368981
[1 27949909 27949909 1] 132364115
[1 27210499 27210499 1] 134288045
[1 18518809 18518809 1] 135406950
[1 4686249 4686249 1] 135244336
[1 19033334 19033334 1] 136441851
[1 20321649 20321649 1] 137748217
[1 11999755 11999755 1] 138269179
[1 2251747 2251747 1] 137880710
[1 4319530 4319530 1] 137683016
[1 573794 573794 1] 137135476
[1 24549798 24549798 1] 138816662
[1 26086991 26086991 1] 140655943
[1 10003034 10003034 1] 140978570
[1 18012498 18012498 1] 142024987
[1 21294893 21294893 1] 143376753
[1 25519126 25519126 1] 145110921
[1 24613997 24613997 1] 146768986
[1 25209189 25209189 1] 148475899
[1 8703730 8703730 1] 148697823
[1 15032461 15032461 1] 149470315
[1 21543922 21543922 1] 150847602
[1 2026305 2026305 1] 150432093
[1 18388028 18388028 1] 151519828
[1 2266749 2266749 1] 151129865
[1 1308903 1308903 1] 150649047
[1 10697698 10697698 1] 151028479
[1 23571044 23571044 1] 152612579
[1 15132003 15132003 1] 153407167
[1 24806404 24806404 1] 155102850
[1 24887344 24887344 1] 156773214
[1 9908539 9908539 1] 157079954
[1 12895152 12895152 1] 157660499
[1 12282135 12282135 1] 158178469
[1 171693 171693 1] 157594014
[1 20516128 20516128 1] 158872581
[1 13755630 13755630 1] 159533275
[1 15590965 15590965 1] 160354879
[1 10636430 10636430 1] 160717799
[1 2576336 2576336 1] 160352079
[1 9202901 9202901 1] 160587491
[1 19407972 19407972 1] 161756867
[1 12260290 12260290 1] 162274700
[1 21717989 21717989 1] 163654171
[1 11585796 11585796 1] 164106827
[1 13053145 13053145 1] 164697124
[1 27658391 27658391 1] 166646366
