Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 7 7 1] 162
[1 6 6 1] 228
[1 6 6 1] 207
[1 3 3 1] 168
[1 2 2 1] 149
[1 8 8 1] 157
[1 10 10 1] 1130
[1 7 7 1] 167
[1 7 7 1] 159
[1 7 7 1] 190
[1 9 9 1] 221
[1 10 10 1] 27043
[1 1 1 1] 177
[1 4 4 1] 207
[1 6 6 1] 754
[1 3 3 1] 220
[1 9 9 1] 162
[1 8 8 1] 178
[1 7 7 1] 196
[1 3 3 1] 226
[1 4 4 1] 775
[1 10 10 1] 211
[1 8 8 1] 168
[1 5 5 1] 176
[1 1 1 1] 263
[1 7 7 1] 456
[1 1 1 1] 231
[1 4 4 1] 206
[1 1 1 1] 207
[1 2 2 1] 196
[1 6 6 1] 169
[1 8 8 1] 1027
[1 6 6 1] 196
[1 10 10 1] 262
[1 8 8 1] 158
[1 6 6 1] 199
[1 6 6 1] 168
[1 8 8 1] 195
[1 5 5 1] 979
[1 1 1 1] 192
[1 9 9 1] 194
[1 9 9 1] 211
[1 5 5 1] 174
[1 2 2 1] 560
[1 10 10 1] 224
[1 1 1 1] 172
[1 9 9 1] 669
[1 3 3 1] 805
[1 7 7 1] 161
[1 10 10 1] 171
[1 1 1 1] 591
[1 9 9 1] 193
[1 2 2 1] 347
[1 3 3 1] 212
[1 3 3 1] 170
[1 7 7 1] 186
[1 1 1 1] 181
[1 2 2 1] 818
[1 10 10 1] 182
[1 10 10 1] 269
[1 10 10 1] 192
[1 8 8 1] 755
[1 2 2 1] 171
[1 6 6 1] 188
[1 8 8 1] 156
[1 7 7 1] 234
[1 4 4 1] 212
[1 6 6 1] 213
[1 4 4 1] 239
[1 5 5 1] 212
[1 2 2 1] 166
[1 10 10 1] 236
[1 10 10 1] 169
[1 9 9 1] 350
[1 6 6 1] 175
[1 10 10 1] 154
[1 4 4 1] 294
[1 6 6 1] 164
[1 2 2 1] 275
[1 6 6 1] 165
[1 9 9 1] 236
[1 9 9 1] 11452
[1 1 1 1] 451
[1 1 1 1] 188
[1 5 5 1] 143
[1 5 5 1] 1025
[1 7 7 1] 228
[1 2 2 1] 172
[1 6 6 1] 221
[1 7 7 1] 627
[1 2 2 1] 163
[1 9 9 1] 223
[1 8 8 1] 169
[1 2 2 1] 321
[1 6 6 1] 1034
[1 8 8 1] 178
[1 4 4 1] 285
[1 9 9 1] 1139
[1 2 2 1] 149
[1 10 10 1] 8003
[1 5 5 1] 4234
[1 4 4 1] 7421
[1 9 9 1] 218
[1 1 1 1] 157
