Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 52 52 1] 181
[1 100 100 1] 193
[1 61 61 1] 185
[1 69 69 1] 172
[1 13 13 1] 736
[1 87 87 1] 221
[1 40 40 1] 210
[1 71 71 1] 637
[1 79 79 1] 171
[1 2 2 1] 199
[1 3 3 1] 238
[1 93 93 1] 199
[1 57 57 1] 226
[1 81 81 1] 171
[1 42 42 1] 230
[1 90 90 1] 191
[1 20 20 1] 169
[1 30 30 1] 197
[1 18 18 1] 3335
[1 72 72 1] 848
[1 76 76 1] 345
[1 28 28 1] 226
[1 57 57 1] 250
[1 54 54 1] 601
[1 66 66 1] 153
[1 84 84 1] 228
[1 25 25 1] 220
[1 72 72 1] 190
[1 30 30 1] 194
[1 20 20 1] 170
[1 69 69 1] 171
[1 16 16 1] 219
[1 50 50 1] 158
[1 24 24 1] 192
[1 46 46 1] 2630
[1 52 52 1] 1039
[1 56 56 1] 179
[1 89 89 1] 186
[1 29 29 1] 185
[1 51 51 1] 170
[1 1 1 1] 17045
[1 65 65 1] 209
[1 15 15 1] 215
[1 57 57 1] 170
[1 92 92 1] 282
[1 66 66 1] 308
[1 37 37 1] 1581
[1 52 52 1] 482
[1 29 29 1] 209
[1 8 8 1] 763
[1 22 22 1] 186
[1 96 96 1] 251
[1 38 38 1] 169
[1 94 94 1] 1266
[1 29 29 1] 158
[1 12 12 1] 179
[1 30 30 1] 176
[1 5 5 1] 959
[1 64 64 1] 174
[1 39 39 1] 179
[1 41 41 1] 185
[1 19 19 1] 178
[1 89 89 1] 190
[1 18 18 1] 260
[1 97 97 1] 182
[1 44 44 1] 183
[1 84 84 1] 218
[1 100 100 1] 222
[1 26 26 1] 721
[1 91 91 1] 243
[1 40 40 1] 203
[1 87 87 1] 253
[1 83 83 1] 209
[1 65 65 1] 734
[1 8 8 1] 215
[1 5 5 1] 171
[1 12 12 1] 178
[1 29 29 1] 185
[1 44 44 1] 972
[1 69 69 1] 532
[1 23 23 1] 242
[1 11 11 1] 152
[1 2 2 1] 219
[1 31 31 1] 520
[1 6 6 1] 171
[1 37 37 1] 213
[1 27 27 1] 212
[1 66 66 1] 243
[1 17 17 1] 523
[1 59 59 1] 1171
[1 38 38 1] 223
[1 25 25 1] 153
[1 20 20 1] 218
[1 100 100 1] 186
[1 51 51 1] 212
[1 72 72 1] 1025
[1 32 32 1] 221
[1 31 31 1] 197
[1 95 95 1] 330
[1 64 64 1] 205
[1 82 82 1] 220
[1 97 97 1] 275
[1 74 74 1] 216
[1 69 69 1] 216
[1 96 96 1] 1428
[1 67 67 1] 188
[1 41 41 1] 177
[1 85 85 1] 207
[1 43 43 1] 212
[1 8 8 1] 162
[1 57 57 1] 219
[1 19 19 1] 135
[1 13 13 1] 171
[1 73 73 1] 269
[1 10 10 1] 167
[1 11 11 1] 202
[1 88 88 1] 579
[1 2 2 1] 1161
[1 73 73 1] 174
[1 56 56 1] 188
[1 100 100 1] 226
[1 5 5 1] 198
[1 12 12 1] 277
[1 68 68 1] 156
[1 29 29 1] 248
[1 51 51 1] 170
[1 59 59 1] 454
[1 25 25 1] 256
[1 70 70 1] 1916
[1 82 82 1] 216
[1 85 85 1] 199
[1 73 73 1] 370
[1 51 51 1] 192
[1 86 86 1] 187
[1 100 100 1] 245
[1 43 43 1] 613
[1 14 14 1] 221
[1 91 91 1] 190
[1 91 91 1] 165
[1 82 82 1] 193
[1 37 37 1] 295
[1 56 56 1] 228
[1 5 5 1] 552
[1 70 70 1] 170
[1 77 77 1] 206
[1 56 56 1] 199
[1 43 43 1] 205
[1 85 85 1] 200
[1 6 6 1] 168
[1 68 68 1] 178
[1 14 14 1] 180
[1 55 55 1] 217
[1 60 60 1] 503
[1 3 3 1] 197
[1 7 7 1] 374
[1 22 22 1] 184
[1 69 69 1] 197

Results: 100.00 661

Standard Error: 136.523
Mean Waiting Time: 562.75
Statistics for DIFFICULTIES: 100

----------------------------------------
Running client with DIFFICULTY: 1000
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 1000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 887 887 1] 339
[1 916 916 1] 355
[1 336 336 1] 199
[1 493 493 1] 231
[1 422 422 1] 213
[1 28 28 1] 422
[1 60 60 1] 265
[1 927 927 1] 319
[1 427 427 1] 250
[1 737 737 1] 284
[1 369 369 1] 226
[1 430 430 1] 1373
[1 531 531 1] 276
[1 124 124 1] 200
[1 136 136 1] 220
[1 803 803 1] 305
[1 59 59 1] 189
[1 168 168 1] 227
[1 457 457 1] 235
[1 43 43 1] 201
[1 374 374 1] 797
[1 920 920 1] 314
[1 538 538 1] 237
[1 325 325 1] 196
[1 371 371 1] 232
[1 527 527 1] 245
[1 981 981 1] 884
[1 874 874 1] 255
[1 171 171 1] 198
[1 282 282 1] 242
[1 926 926 1] 331
[1 328 328 1] 200
[1 506 506 1] 237
[1 730 730 1] 268
[1 858 858 1] 13395
[1 896 896 1] 385
[1 546 546 1] 625
[1 368 368 1] 217
[1 365 365 1] 278
[1 751 751 1] 298
[1 809 809 1] 269
[1 179 179 1] 191
[1 585 585 1] 249
[1 652 652 1] 297
[1 400 400 1] 282
[1 61 61 1] 188
[1 369 369 1] 235
[1 13 13 1] 150
[1 587 587 1] 294
[1 540 540 1] 246
[1 571 571 1] 345
[1 379 379 1] 485
[1 602 602 1] 269
[1 903 903 1] 574
[1 493 493 1] 643
[1 757 757 1] 1475
[1 281 281 1] 1580
[1 442 442 1] 256
[1 690 690 1] 268
[1 620 620 1] 2558
[1 730 730 1] 267
[1 118 118 1] 210
[1 772 772 1] 303
[1 676 676 1] 837
[1 928 928 1] 346
[1 857 857 1] 385
[1 354 354 1] 203
[1 966 966 1] 320
[1 684 684 1] 359
[1 625 625 1] 235
[1 872 872 1] 233
[1 830 830 1] 244
[1 20 20 1] 200
[1 369 369 1] 248
[1 716 716 1] 299
[1 150 150 1] 233
[1 724 724 1] 266
[1 246 246 1] 201
[1 452 452 1] 674
[1 556 556 1] 268
[1 489 489 1] 268
[1 229 229 1] 211
[1 351 351 1] 288
[1 501 501 1] 1273
[1 765 765 1] 262
[1 915 915 1] 403
[1 857 857 1] 319
[1 492 492 1] 662
[1 366 366 1] 224
[1 937 937 1] 321
[1 552 552 1] 291
[1 229 229 1] 229
[1 408 408 1] 244
[1 122 122 1] 195
[1 396 396 1] 250
[1 238 238 1] 202
[1 794 794 1] 359
[1 429 429 1] 374
[1 12 12 1] 432
[1 530 530 1] 253
[1 405 405 1] 218
[1 764 764 1] 1540
[1 539 539 1] 238
[1 841 841 1] 281
[1 819 819 1] 292
[1 689 689 1] 294
[1 918 918 1] 302
[1 997 997 1] 306
[1 744 744 1] 365
[1 184 184 1] 351
[1 500 500 1] 938
[1 726 726 1] 255
[1 591 591 1] 285
[1 140 140 1] 240
[1 787 787 1] 284
[1 83 83 1] 176
