Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 52 52 1] 222
[1 100 100 1] 223
[1 61 61 1] 226
[1 69 69 1] 193
[1 13 13 1] 202
[1 87 87 1] 181
[1 40 40 1] 669
[1 71 71 1] 208
[1 79 79 1] 207
[1 2 2 1] 222
[1 3 3 1] 972
[1 93 93 1] 232
[1 57 57 1] 190
[1 81 81 1] 216
[1 42 42 1] 187
[1 90 90 1] 199
[1 20 20 1] 235
[1 30 30 1] 207
[1 18 18 1] 186
[1 72 72 1] 235
[1 76 76 1] 200
[1 28 28 1] 188
[1 57 57 1] 190
[1 54 54 1] 190
[1 66 66 1] 168
[1 84 84 1] 964
[1 25 25 1] 165
[1 72 72 1] 834
[1 30 30 1] 165
[1 20 20 1] 207
[1 69 69 1] 1451
[1 16 16 1] 411
[1 50 50 1] 204
[1 24 24 1] 188
[1 46 46 1] 209
[1 52 52 1] 207
[1 56 56 1] 1437
[1 89 89 1] 203
[1 29 29 1] 205
[1 51 51 1] 297
[1 1 1 1] 225
[1 65 65 1] 738
[1 15 15 1] 192
[1 57 57 1] 210
[1 92 92 1] 207
[1 66 66 1] 267
[1 37 37 1] 422
[1 52 52 1] 194
[1 29 29 1] 192
[1 8 8 1] 169
[1 22 22 1] 188
[1 96 96 1] 220
[1 38 38 1] 188
[1 94 94 1] 196
[1 29 29 1] 203
[1 12 12 1] 184
[1 30 30 1] 947
[1 5 5 1] 168
[1 64 64 1] 1308
[1 39 39 1] 201
[1 41 41 1] 161
[1 19 19 1] 196
[1 89 89 1] 265
[1 18 18 1] 203
[1 97 97 1] 170
[1 44 44 1] 187
[1 84 84 1] 232
[1 100 100 1] 179
[1 26 26 1] 216
[1 91 91 1] 169
[1 40 40 1] 279
[1 87 87 1] 203
[1 83 83 1] 272
[1 65 65 1] 179
[1 8 8 1] 206
[1 5 5 1] 215
[1 12 12 1] 178
[1 29 29 1] 291
[1 44 44 1] 162
[1 69 69 1] 208
[1 23 23 1] 242
[1 11 11 1] 187
[1 2 2 1] 201
[1 31 31 1] 195
[1 6 6 1] 170
[1 37 37 1] 209
[1 27 27 1] 168
[1 66 66 1] 231
[1 17 17 1] 217
[1 59 59 1] 235
[1 38 38 1] 210
[1 25 25 1] 207
[1 20 20 1] 260
[1 100 100 1] 254
[1 51 51 1] 388
[1 72 72 1] 170
[1 32 32 1] 166
[1 31 31 1] 221
[1 95 95 1] 165
[1 64 64 1] 190
[1 82 82 1] 189
[1 97 97 1] 181
[1 74 74 1] 219
[1 69 69 1] 414
[1 96 96 1] 173
[1 67 67 1] 171
[1 41 41 1] 200
[1 85 85 1] 206
[1 43 43 1] 184
[1 8 8 1] 182
[1 57 57 1] 1002
[1 19 19 1] 372
[1 13 13 1] 187
[1 73 73 1] 205
[1 10 10 1] 213
[1 11 11 1] 192
[1 88 88 1] 176
[1 2 2 1] 932
[1 73 73 1] 182
[1 56 56 1] 188
[1 100 100 1] 226
[1 5 5 1] 184
[1 12 12 1] 194
[1 68 68 1] 230
[1 29 29 1] 384
[1 51 51 1] 496
[1 59 59 1] 209
[1 25 25 1] 506
[1 70 70 1] 205
[1 82 82 1] 554
[1 85 85 1] 373
[1 73 73 1] 289
[1 51 51 1] 213
[1 86 86 1] 309
[1 100 100 1] 231
[1 43 43 1] 220
[1 14 14 1] 173
[1 91 91 1] 202
[1 91 91 1] 1261
[1 82 82 1] 445
[1 37 37 1] 191
[1 56 56 1] 311
[1 5 5 1] 190
[1 70 70 1] 742
[1 77 77 1] 250
[1 56 56 1] 223
[1 43 43 1] 184
[1 85 85 1] 211
[1 6 6 1] 318
[1 68 68 1] 183
[1 14 14 1] 198
[1 55 55 1] 293
[1 60 60 1] 234
[1 3 3 1] 4813
[1 7 7 1] 158
[1 22 22 1] 178
[1 69 69 1] 241

Results: 100.00 319

Standard Error: 21.4401
Mean Waiting Time: 343.415
Statistics for DIFFICULTIES: 100

----------------------------------------
Running client with DIFFICULTY: 1000
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 1000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 887 887 1] 276
[1 916 916 1] 1161
[1 336 336 1] 224
[1 493 493 1] 481
[1 422 422 1] 243
[1 28 28 1] 208
[1 60 60 1] 175
[1 927 927 1] 312
[1 427 427 1] 232
[1 737 737 1] 260
[1 369 369 1] 241
[1 430 430 1] 231
[1 531 531 1] 238
[1 124 124 1] 192
[1 136 136 1] 196
[1 803 803 1] 276
[1 59 59 1] 237
[1 168 168 1] 211
[1 457 457 1] 199
[1 43 43 1] 214
[1 374 374 1] 255
[1 920 920 1] 320
[1 538 538 1] 228
[1 325 325 1] 254
[1 371 371 1] 1179
[1 527 527 1] 325
[1 981 981 1] 305
[1 874 874 1] 293
[1 171 171 1] 190
[1 282 282 1] 247
[1 926 926 1] 457
[1 328 328 1] 392
[1 506 506 1] 267
[1 730 730 1] 311
[1 858 858 1] 320
[1 896 896 1] 313
[1 546 546 1] 404
[1 368 368 1] 715
[1 365 365 1] 290
[1 751 751 1] 295
[1 809 809 1] 368
[1 179 179 1] 211
[1 585 585 1] 773
[1 652 652 1] 513
[1 400 400 1] 712
[1 61 61 1] 287
[1 369 369 1] 239
[1 13 13 1] 225
[1 587 587 1] 383
[1 540 540 1] 244
[1 571 571 1] 290
[1 379 379 1] 241
[1 602 602 1] 1713
[1 903 903 1] 327
[1 493 493 1] 219
[1 757 757 1] 248
[1 281 281 1] 227
[1 442 442 1] 307
[1 690 690 1] 269
[1 620 620 1] 269
[1 730 730 1] 317
[1 118 118 1] 197
[1 772 772 1] 312
[1 676 676 1] 282
[1 928 928 1] 325
[1 857 857 1] 300
[1 354 354 1] 262
[1 966 966 1] 286
[1 684 684 1] 251
[1 625 625 1] 291
[1 872 872 1] 280
[1 830 830 1] 284
[1 20 20 1] 179
[1 369 369 1] 209
[1 716 716 1] 265
[1 150 150 1] 246
[1 724 724 1] 953
[1 246 246 1] 209
[1 452 452 1] 244
[1 556 556 1] 256
[1 489 489 1] 271
[1 229 229 1] 352
[1 351 351 1] 659
[1 501 501 1] 202
[1 765 765 1] 286
[1 915 915 1] 338
[1 857 857 1] 1069
[1 492 492 1] 257
[1 366 366 1] 830
[1 937 937 1] 359
[1 552 552 1] 214
[1 229 229 1] 201
[1 408 408 1] 307
[1 122 122 1] 192
[1 396 396 1] 241
[1 238 238 1] 211
[1 794 794 1] 289
[1 429 429 1] 221
[1 12 12 1] 206
[1 530 530 1] 226
[1 405 405 1] 259
[1 764 764 1] 1517
[1 539 539 1] 217
[1 841 841 1] 394
[1 819 819 1] 312
[1 689 689 1] 261
[1 918 918 1] 256
[1 997 997 1] 278
[1 744 744 1] 254
[1 184 184 1] 1692
[1 500 500 1] 224
[1 726 726 1] 279
[1 591 591 1] 232
[1 140 140 1] 188
[1 787 787 1] 1038
[1 83 83 1] 239
[1 465 465 1] 234
[1 508 508 1] 244
[1 805 805 1] 291
[1 612 612 1] 300
[1 829 829 1] 265
[1 344 344 1] 219
[1 569 569 1] 822
[1 423 423 1] 241
[1 811 811 1] 304
[1 802 802 1] 256
[1 731 731 1] 287
[1 306 306 1] 208
[1 737 737 1] 245
